,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment
0,2,4.0,1.0,50.0,Condo/Apartment,New,High luxury,1880.0,2023.0,"Central, Gas",Individual,E291,D48,,,,,,,,,,,,,,
1,4,6.0,2.0,68.0,Condo/Apartment,Excellent condition,,1895.0,2020.0,"Central, Common, Gas",Collective,D210,B6,70 m²,,,,,,,,,,,,,
2,3,,2.0,70.0,Condo/Apartment,New,High luxury,1910.0,2024.0,"Central, Gas",,F350,C11,,,,,,,,,,,,,,
3,2,,1.0,61.0,Condo/Apartment,Requires renovation,Luxury,,,"Radiator, Common, Gas","Boiler, Collective",D246,D49,61 m²,Main drainage,,,,,,,,,,,,
4,4,6.0,2.0,108.0,Condo/Apartment,Good condition,,1898.0,,"Radiator, Common, Gas","Boiler, Collective",E229,E49,,Main drainage,,,,,,,,,,,,
5,4,6.0,2.0,92.2,Condo/Apartment,Requires renovation,High luxury,1928.0,,"Radiator, Common, Gas","Boiler, Collective",E244,E51,92.2 m²,Main drainage,,,,,,,,,,,,
6,3,6.0,2.0,90.1,Condo/Apartment,Requires renovation,Luxury,1900.0,,"Radiator, Common, Gas","Boiler, Collective",D149,D35,90.1 m²,Main drainage,,,,,,,,,,,,
7,4,,3.0,99.42,Condo/Apartment,New,,1970.0,2020.0,,"Boiler, Collective",E271,F63,107 m²,Main drainage,,,,,,,,,,,,
8,1,6.0,1.0,10.29,Condo/Apartment,,,1908.0,,Radiant,Hot water tank,E431,B13,,,1.0,,,,,,,,,,,
9,1,7.0,,15.15,Condo/Apartment,,,1975.0,,Common,,No data,No data,,,,1.0,1.0,,,,,,,,,
10,2,4.0,1.0,58.5,Condo/Apartment,,,1900.0,,Electric,,F345,F11,,,1.0,,,,,,,,,,,
11,3,10.0,2.0,65.47,,,,,,,,D220,B7,,,1.0,,,,,,,,,,,
12,3,1.0,2.0,22.0,House,,,1980.0,,"Individual, Fuel oil",,No data,No data,,,,1.0,1.0,,,,,,,,,
13,1,7.0,,19.21,Condo/Apartment,,,1908.0,,"Individual, Electric",,G472,C15,,,,1.0,1.0,,,,,,,,,
14,1,6.0,,20.16,Condo/Apartment,,,,,"Individual, Electric",,G592,C19,,,1.0,,,,,,,,,,,
15,1,6.0,1.0,23.09,Condo/Apartment,,,1888.0,,"Individual, Electric",,No data,No data,,,,1.0,1.0,,,,,,,,,
16,1,1.0,,23.0,Condo/Apartment,,,,,Individual,,E296,B9,,,,1.0,1.0,,,,,,,,,
17,12,1.0,8.0,420.0,House,,,1770.0,,"Individual, Gas",,D194,D41,,,5.0,5.0,,4250 m²,,,,,,,,
18,3,1.0,2.0,52.0,House,,,2001.0,,"Individual, Fuel oil",,No data,No data,,,,2.0,2.0,,,,,,,,,
19,2,10.0,1.0,46.0,Condo/Apartment,,,,,"Individual, Gas",,No data,No data,,,1.0,1.0,,,,,,,,,,
20,2,6.0,1.0,40.14,Condo/Apartment,,,1930.0,,"Individual, Electric",,D228,B7,,,,1.0,1.0,,,,,,,,,
21,1,4.0,,14.56,Condo/Apartment,,,1800.0,,"Individual, Electric",,No data,No data,,,,1.0,1.0,,,,,,,,,
22,1,9.0,,31.0,Condo/Apartment,,,2020.0,,Common,,B61,B9,,,,,,,,,,,,,,
23,1,8.0,,11.0,Condo/Apartment,,,1952.0,,Common,,E329,E55,,,,,,,,,,,,,,
24,3,1.0,2.0,55.0,House,,,1925.0,,"Individual, Fuel oil",,No data,No data,,,,1.0,1.0,,,,,,,,,
25,3,1.0,2.0,35.0,House,,,1989.0,,"Individual, Fuel oil",,No data,No data,,,,1.0,1.0,,1.0,,,,,,,
26,7,6.0,4.0,200.0,Condo/Apartment,,,1920.0,,Individual,,D181,C28,,,2.0,3.0,1.0,,1.0,,,,,,,
27,3,1.0,2.0,79.0,House,,,1930.0,,"Individual, Fuel oil",,No data,No data,,,1.0,1.0,,,,,,,,,,
28,2,1.0,1.0,39.0,House,,,1966.0,,"Individual, Fuel oil",,No data,No data,,,1.0,1.0,,,1.0,,,,,,,
29,2,1.0,,38.0,House,,,1998.0,,"Individual, Fuel oil",,No data,No data,,,,1.0,1.0,,,,,,,,,
30,1,1.0,,21.08,Condo/Apartment,,,,,Common,,G636,G139,,,,1.0,1.0,,,,,,,,,
31,3,2.0,2.0,68.42,Condo/Apartment,,,1948.0,,"Individual, Electric",,D189,B6,,,1.0,1.0,,,,,,,,,,
32,2,6.0,1.0,38.51,Condo/Apartment,,,,,"Convector, Individual, Electric",,F355,B11,,,,1.0,1.0,,,,,,,,,
33,5,,3.0,128.0,,,,,,,,F334,C11,,,,,,,,,,,,,,
34,4,,3.0,82.0,,,,,,,,D217,D46,,,1.0,,,,,,,,,,,
