,Price
0,1258458
1,1422604
2,2024475
3,1039595
4,1805613
5,1258458
6,1214685
7,1674296
8,96299
9,202448
10,590928
11,634700
12,128034
13,246220
14,430885
15,295464
16,256069
17,2407484
18,273578
19,339236
20,425687
21,240748
22,294370
23,124751
24,311879
25,151015
26,2166736
27,415838
28,216674
29,172901
30,360028
31,733188
32,358934
33,1849386
34,979408
35,65549
36,370971
37,787904
38,842619
39,809790
40,984880
41,689416
42,1191705
43,489157
44,2604460
45,481497
46,831676
47,317350
48,1422604
49,344708
50,656587
51,194787
52,432253
53,869977
54,479308
55,2096481
56,402159
57,804319
58,976125
59,1271152
60,653304
61,359372
62,913750
63,976125
64,913750
65,809790
66,484670
67,2013532
68,298747
69,265699
70,1417133
71,744131
72,453045
73,819639
74,1093217
75,546061
76,2675590
77,525269
78,393952
79,261540
80,261540
81,98488
82,229805
83,251692
84,809790
85,323259
86,492440
87,383009
88,228711
89,1231100
90,393952
91,419121
92,355651
93,372066
94,874354
95,874354
96,149921
97,164147
98,631965
99,896241
100,517609
101,536212
102,1159970
103,436630
104,524284
105,1312079
106,820733
107,564664
108,74413
109,574513
110,651115
111,588739
112,600777
113,711302
114,568768
115,579985
116,525269
117,689416
118,3096900
119,1471848
120,625946
121,600777
122,525269
123,398329
124,782432
125,908278
126,333765
127,186033
128,136789
129,546061
130,367688
131,339236
132,654398
133,623757
134,404895
135,328293
136,582173
137,874354
138,979408
139,979408
140,1039595
141,962994
142,902807
143,983786
144,1301136
145,293275
146,353462
147,414744
148,519798
149,519798
150,390669
151,184939
152,551861
153,589834
154,653304
155,298747
156,622663
157,645643
158,372066
159,820733
160,399424
161,599682
162,480403
163,148826
164,463441
165,491346
166,530741
167,284521
168,444290
169,195882
170,764923
171,1202648
172,120363
173,390669
174,344708
175,689416
176,315162
177,191504
178,369330
179,392858
180,1202648
181,273578
182,1313173
183,1417133
184,1696182
185,508855
186,383009
187,183844
188,897335
189,1198271
190,694887
191,298747
192,393952
193,370971
194,463988
195,244467
196,315982
197,256069
198,514326
199,705831
200,393952
201,218862
202,383009
203,1083368
204,322822
205,503383
206,158675
207,645643
208,108337
209,1315909
210,804319
211,544967
212,656587
213,505572
214,600339
215,476025
216,501977
217,845902
218,1041675
219,1043863
220,1043863
221,1034124
222,429189
223,470554
224,54716
225,1043973
226,2845209
227,436630
228,284521
229,2845209
230,919221
231,103960
232,485874
233,585456
234,317350
235,284959
236,397235
237,437724
238,874354
239,1365700
240,1165441
241,235277
242,492440
243,804319
244,476025
245,476025
246,2275073
247,334804
248,175090
249,941107
250,355651
251,172901
252,2954640
253,755075
254,229805
255,744131
256,2133906
257,240748
258,311879
259,875449
260,477120
261,982691
262,711302
263,425687
264,1630523
265,619380
266,443196
267,601871
268,711302
269,728811
270,899524
271,335735
272,899524
273,629229
274,421091
275,217768
276,436630
277,344708
278,588739
279,640172
280,328293
281,873260
282,121469
283,1072425
284,2068248
285,744131
286,744131
287,486968
288,645643
289,820733
290,2243338
291,273578
292,508855
293,601871
294,569042
295,525269
296,180561
297,689416
298,1586751
299,541684
300,629229
301,273578
302,689416
303,711302
304,393952
305,689416
306,962994
307,651115
308,618286
309,962994
310,634700
311,875449
312,1367889
313,361123
314,491346
315,1094311
316,1417133
317,764923
318,758358
319,71130
320,1088839
321,393952
322,1750898
323,486968
324,1006766
325,716774
326,1258458
327,349085
328,634700
329,853563
330,385197
331,470554
332,984880
333,655492
334,678473
335,552627
336,930164
337,279049
338,218862
339,1630523
340,842619
341,720057
342,645643
343,521439
344,640172
345,574513
346,1849386
347,612814
348,749603
349,1083368
350,207919
351,695982
352,579985
353,1451056
354,311879
355,437724
356,383009
357,601871
358,217768
359,760546
360,163052
361,186033
362,273578
363,350180
364,492440
365,982691
366,1365700
367,524722
368,1530941
369,1474037
370,524722
371,3501795
372,546061
373,546061
374,574513
375,590928
376,579438
377,601871
378,1420963
379,694887
380,410367
381,711302
382,491893
383,732094
384,414744
385,755075
386,491346
387,763829
388,491893
389,1532035
390,1641467
391,1860329
392,1860329
393,585456
394,202448
395,346897
396,136789
397,815262
398,1149027
399,1039595
400,842619
401,809790
402,984880
403,859034
404,317350
405,804319
406,842619
407,804319
408,848091
409,279618
410,993634
411,1439019
412,119280
413,489157
414,539495
415,1280344
416,760546
417,1625052
418,492440
419,645643
420,625344
421,457422
422,370971
423,123657
424,175090
425,572325
426,689416
427,381915
428,594211
429,601871
430,251144
431,820733
432,486968
433,103960
434,711302
435,469459
436,268106
437,2073719
438,436630
439,820733
440,108337
441,710208
442,700906
443,579985
444,129129
445,952051
446,1915044
447,1092122
448,1313173
449,1586751
450,253880
451,513232
452,959711
453,3266518
454,2484086
455,1849386
456,119280
457,3129729
458,3053128
459,574513
460,1280344
461,760546
462,1083368
463,525269
464,1302230
465,191504
466,377537
467,459611
468,941107
469,481360
470,941107
471,525269
472,765471
473,853563
474,2834266
