Property Title,Price,Rooms,Floors,Bedrooms,Living,Type,Condition,Standing,Construction year,Renovation year,Heating,Hot water,Energy efficiency rating,Environmental (CO₂) impact rating,Total,Hot water waste,Bathrooms,Toilet rooms,Shower rooms,Land,Balconies,Balcony,Parking lots (outside),Parking lots (inside),Internal,Terraces,Garages (outside),Environment,Terrace,Cellar,Beds
PARIS 7ème  - 1 chambre - view les invalides,"$1,258,458",2,4,1,50 m²,Condo/Apartment,New,High luxury,1880,2023,"Central, Gas",Individual,E291,D48,,,,,,,,,,,,,,,,,
Paris 7th - 2 bedrooms - 6th floor - Balcony Rooftop view.,"$1,422,604",4,6,2,68 m²,Condo/Apartment,Excellent condition,,1895,2020,"Central, Common, Gas",Collective,D210,B6,70 m²,,,,,,,,,,,,,,,,
Paris 8th -Plaza Athénée Avenue Montaigne - Golden Triangle,"$2,024,475",3,,2,70 m²,Condo/Apartment,New,High luxury,1910,2024,"Central, Gas",,F350,C11,,,,,,,,,,,,,,,,,
Bright Pied-à-terre on Avenue Foch,"$1,039,595",2,,1,61 m²,Condo/Apartment,Requires renovation,Luxury,,,"Radiator, Common, Gas","Boiler, Collective",D246,D49,61 m²,Main drainage,,,,,,,,,,,,,,,
PRIVATE ROAD - HIGH FLOOR - 4 ROOMS - BALCONY -JANSON de SAILLY -,"$1,805,613",4,6,2,108 m²,Condo/Apartment,Good condition,,1898,,"Radiator, Common, Gas","Boiler, Collective",E229,E49,,Main drainage,,,,,,,,,,,,,,,
SUN-DRENCHED CORNER APARTMENT - TWO BEDROOMS,"$1,258,458",4,6,2,92.2 m²,Condo/Apartment,Requires renovation,High luxury,1928,,"Radiator, Common, Gas","Boiler, Collective",E244,E51,92.2 m²,Main drainage,,,,,,,,,,,,,,,
Plaine Monceau,"$1,214,685",3,6,2,90.1 m²,Condo/Apartment,Requires renovation,Luxury,1900,,"Radiator, Common, Gas","Boiler, Collective",D149,D35,90.1 m²,Main drainage,,,,,,,,,,,,,,,
"Passy-nicolo, 2 bedrooms 107m2","$1,674,296",4,,3,99.42 m²,Condo/Apartment,New,,1970,2020,,"Boiler, Collective",E271,F63,107 m²,Main drainage,,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$96,299",1,6,1,10.29 m²,Condo/Apartment,,,1908,,Radiant,Hot water tank,E431,B13,,,1,,,,,,,,,,,,,,
"Condo/Apartment for sale in Paris, France","$202,448",1,7,,15.15 m²,Condo/Apartment,,,1975,,Common,,No data,No data,,,,1,1,,,,,,,,,,,,
